id,peer,task,checkdate
1,seftonca,C2_SimpleBashUtils,2021-6-7
2,seftonca,C3_s21_string+,2021-12-13
3,seftonca,C4_s21_math,2022-2-21
4,seftonca,C5_s21_decimal,2022-8-17
5,seftonca,C6_SmartCalc_v1.0,2022-8-8
6,seftonca,C7_s21_matrix,2021-6-24
7,seftonca,C8_3DVieweer_v1.0,2021-3-13
8,seftonca,DO1_Linux,2022-12-19
9,seftonca,DO2_LinuxNetwork,2021-3-21
10,seftonca,DO3_LinuxMonitoring_v1.0,2021-2-26
11,seftonca,DO5_SimpleDocker,2021-7-5
12,seftonca,DO4_LinuxMonitoring_v2.0,2022-3-26
13,seftonca,DO6_CICD,2022-8-8
14,seftonca,CPP1_s21_matrix+,2021-9-21
15,seftonca,CPP3_SmartCalc_v2.0,2022-3-17
16,seftonca,CPP2_s21_containers,2021-9-28
17,seftonca,CPP4_3DVieweer_v2.0,2022-7-23
18,seftonca,CPP7_MLP,2022-4-20
19,seftonca,CPP5_3DVieweer_v2.1,2022-5-27
20,seftonca,CPP6__3DVieweer_v2.2,2021-1-21
21,seftonca,CPP8_PhotoLab_v1.0,2021-7-2
22,seftonca,CPP9_MonitoringSystem,2021-3-13
23,seftonca,A1_Maze,2022-9-17
24,seftonca,A2_SimpleNavigator_v1.0,2021-11-1
25,seftonca,A3_Parallels,2022-7-9
26,seftonca,A4_Crypto,2022-3-2
27,seftonca,A5_Transactions,2022-8-9
28,seftonca,A6_s21_memory,2021-1-5
29,seftonca,A7_AlgorithmicTrading,2021-11-26
30,seftonca,A8_DNA_Analyzer,2021-9-7
31,seftonca,SQL2_Info21_v1.0,2022-3-9
32,seftonca,SQL3_RetailAnalitycs_v1.0,2021-11-3
33,androwba,C2_SimpleBashUtils,2022-4-9
34,androwba,C3_s21_string+,2022-6-25
35,androwba,C4_s21_math,2022-6-25
36,androwba,C5_s21_decimal,2022-10-7
37,androwba,C6_SmartCalc_v1.0,2021-11-5
38,androwba,C7_s21_matrix,2022-8-16
39,androwba,C8_3DVieweer_v1.0,2021-7-16
40,androwba,DO1_Linux,2021-9-15
41,androwba,DO2_LinuxNetwork,2021-2-24
42,androwba,DO3_LinuxMonitoring_v1.0,2022-7-12
43,androwba,DO5_SimpleDocker,2022-1-13
44,androwba,DO4_LinuxMonitoring_v2.0,2021-8-23
45,androwba,DO6_CICD,2022-10-12
46,androwba,CPP1_s21_matrix+,2022-2-17
47,androwba,CPP3_SmartCalc_v2.0,2021-2-3
48,androwba,CPP2_s21_containers,2021-8-23
49,androwba,CPP4_3DVieweer_v2.0,2022-7-25
50,androwba,CPP7_MLP,2021-2-11
51,androwba,CPP5_3DVieweer_v2.1,2022-9-23
52,androwba,CPP6__3DVieweer_v2.2,2021-6-24
53,androwba,CPP8_PhotoLab_v1.0,2021-11-21
54,androwba,CPP9_MonitoringSystem,2021-10-11
55,androwba,A1_Maze,2022-12-22
56,androwba,A2_SimpleNavigator_v1.0,2021-12-28
57,androwba,A3_Parallels,2021-1-18
58,androwba,A4_Crypto,2021-8-19
59,androwba,A5_Transactions,2022-4-22
60,androwba,A6_s21_memory,2022-1-9
61,androwba,A7_AlgorithmicTrading,2022-4-26
62,androwba,A8_DNA_Analyzer,2022-3-2
63,androwba,SQL2_Info21_v1.0,2021-7-18
64,androwba,SQL3_RetailAnalitycs_v1.0,2022-7-25
65,ghumbleb,C2_SimpleBashUtils,2022-1-14
66,ghumbleb,C3_s21_string+,2022-11-26
67,ghumbleb,C4_s21_math,2022-9-2
68,ghumbleb,C5_s21_decimal,2022-10-10
69,ghumbleb,C6_SmartCalc_v1.0,2022-1-28
70,ghumbleb,C7_s21_matrix,2022-2-14
71,ghumbleb,C8_3DVieweer_v1.0,2021-7-26
72,ghumbleb,DO1_Linux,2022-1-26
73,ghumbleb,DO2_LinuxNetwork,2021-12-15
74,ghumbleb,DO3_LinuxMonitoring_v1.0,2021-4-6
75,ghumbleb,DO5_SimpleDocker,2021-11-20
76,ghumbleb,DO4_LinuxMonitoring_v2.0,2022-11-18
77,ghumbleb,DO6_CICD,2021-5-16
78,ghumbleb,CPP1_s21_matrix+,2021-1-23
79,ghumbleb,CPP3_SmartCalc_v2.0,2022-6-18
80,ghumbleb,CPP2_s21_containers,2021-5-17
81,ghumbleb,CPP4_3DVieweer_v2.0,2022-7-18
82,ghumbleb,CPP7_MLP,2022-8-25
83,ghumbleb,CPP5_3DVieweer_v2.1,2021-1-3
84,ghumbleb,CPP6__3DVieweer_v2.2,2021-5-10
85,ghumbleb,CPP8_PhotoLab_v1.0,2022-4-3
86,ghumbleb,CPP9_MonitoringSystem,2021-8-6
87,ghumbleb,A1_Maze,2021-9-17
88,ghumbleb,A2_SimpleNavigator_v1.0,2021-11-10
89,ghumbleb,A3_Parallels,2021-11-11
90,ghumbleb,A4_Crypto,2021-10-10
91,ghumbleb,A5_Transactions,2021-2-3
92,ghumbleb,A6_s21_memory,2021-6-3
93,ghumbleb,A7_AlgorithmicTrading,2021-7-12
94,ghumbleb,A8_DNA_Analyzer,2021-5-23
95,ghumbleb,SQL2_Info21_v1.0,2022-5-18
96,ghumbleb,SQL3_RetailAnalitycs_v1.0,2021-1-2
97,professo,C2_SimpleBashUtils,2022-3-12
98,professo,C3_s21_string+,2022-11-3
99,professo,C4_s21_math,2022-2-21
100,professo,C5_s21_decimal,2022-8-21
101,professo,C6_SmartCalc_v1.0,2021-7-6
102,professo,C7_s21_matrix,2021-9-1
103,professo,C8_3DVieweer_v1.0,2021-12-8
104,professo,DO1_Linux,2022-4-1
105,professo,DO2_LinuxNetwork,2021-7-14
106,professo,DO3_LinuxMonitoring_v1.0,2021-8-11
107,professo,DO5_SimpleDocker,2022-4-5
108,professo,DO4_LinuxMonitoring_v2.0,2021-4-11
109,professo,DO6_CICD,2021-6-17
110,professo,CPP1_s21_matrix+,2021-7-27
111,professo,CPP3_SmartCalc_v2.0,2021-8-11
112,professo,CPP2_s21_containers,2022-1-3
113,professo,CPP4_3DVieweer_v2.0,2022-1-3
114,professo,CPP7_MLP,2021-9-19
115,professo,CPP5_3DVieweer_v2.1,2021-3-2
116,professo,CPP6__3DVieweer_v2.2,2021-11-12
117,professo,CPP8_PhotoLab_v1.0,2022-4-22
118,professo,CPP9_MonitoringSystem,2022-4-14
119,professo,A1_Maze,2022-4-8
120,professo,A2_SimpleNavigator_v1.0,2021-5-5
121,professo,A3_Parallels,2022-6-7
122,professo,A4_Crypto,2021-12-3
123,professo,A5_Transactions,2021-10-2
124,professo,A6_s21_memory,2021-7-7
125,professo,A7_AlgorithmicTrading,2021-6-4
126,professo,A8_DNA_Analyzer,2021-3-11
127,professo,SQL2_Info21_v1.0,2022-1-12
128,professo,SQL3_RetailAnalitycs_v1.0,2021-8-4
129,jenegabr,C2_SimpleBashUtils,2022-10-6
130,jenegabr,C3_s21_string+,2022-10-18
131,jenegabr,C4_s21_math,2021-9-5
132,jenegabr,C5_s21_decimal,2022-6-21
133,jenegabr,C6_SmartCalc_v1.0,2022-7-26
134,jenegabr,C7_s21_matrix,2022-12-28
135,jenegabr,C8_3DVieweer_v1.0,2022-2-2
136,jenegabr,DO1_Linux,2022-10-4
137,jenegabr,DO2_LinuxNetwork,2022-5-21
138,jenegabr,DO3_LinuxMonitoring_v1.0,2022-11-24
139,jenegabr,DO5_SimpleDocker,2022-2-12
140,jenegabr,DO4_LinuxMonitoring_v2.0,2021-3-3
141,jenegabr,DO6_CICD,2022-2-25
142,jenegabr,CPP1_s21_matrix+,2022-9-23
143,jenegabr,CPP3_SmartCalc_v2.0,2022-1-26
144,jenegabr,CPP2_s21_containers,2022-5-8
145,jenegabr,CPP4_3DVieweer_v2.0,2022-2-16
146,jenegabr,CPP7_MLP,2021-4-19
147,jenegabr,CPP5_3DVieweer_v2.1,2021-10-28
148,jenegabr,CPP6__3DVieweer_v2.2,2022-8-24
149,jenegabr,CPP8_PhotoLab_v1.0,2021-6-9
150,jenegabr,CPP9_MonitoringSystem,2021-11-5
151,jenegabr,A1_Maze,2021-10-4
152,jenegabr,A2_SimpleNavigator_v1.0,2022-2-6
153,jenegabr,A3_Parallels,2021-11-21
154,jenegabr,A4_Crypto,2022-1-10
155,jenegabr,A5_Transactions,2021-7-12
156,jenegabr,A6_s21_memory,2021-7-10
157,jenegabr,A7_AlgorithmicTrading,2021-2-20
158,jenegabr,A8_DNA_Analyzer,2021-11-18
159,jenegabr,SQL2_Info21_v1.0,2021-2-14
160,jenegabr,SQL3_RetailAnalitycs_v1.0,2022-7-21
161,synthiat,C2_SimpleBashUtils,2021-12-6
162,synthiat,C3_s21_string+,2021-3-24
163,synthiat,C4_s21_math,2022-10-15
164,synthiat,C5_s21_decimal,2021-6-15
165,synthiat,C6_SmartCalc_v1.0,2021-9-3
166,synthiat,C7_s21_matrix,2021-8-17
167,synthiat,C8_3DVieweer_v1.0,2021-9-8
168,synthiat,DO1_Linux,2021-8-16
169,synthiat,DO2_LinuxNetwork,2021-3-12
170,synthiat,DO3_LinuxMonitoring_v1.0,2021-4-11
171,synthiat,DO5_SimpleDocker,2021-5-18
172,synthiat,DO4_LinuxMonitoring_v2.0,2022-8-13
173,synthiat,DO6_CICD,2022-12-22
174,synthiat,CPP1_s21_matrix+,2022-10-22
175,synthiat,CPP3_SmartCalc_v2.0,2021-4-18
176,synthiat,CPP2_s21_containers,2021-11-21
177,synthiat,CPP4_3DVieweer_v2.0,2022-3-18
178,synthiat,CPP7_MLP,2021-1-1
179,synthiat,CPP5_3DVieweer_v2.1,2022-8-8
180,synthiat,CPP6__3DVieweer_v2.2,2022-11-7
181,synthiat,CPP8_PhotoLab_v1.0,2022-12-27
182,synthiat,CPP9_MonitoringSystem,2022-12-4
183,synthiat,A1_Maze,2021-1-2
184,synthiat,A2_SimpleNavigator_v1.0,2021-11-7
185,synthiat,A3_Parallels,2022-9-20
186,synthiat,A4_Crypto,2021-2-12
187,synthiat,A5_Transactions,2021-1-19
188,synthiat,A6_s21_memory,2022-6-12
189,synthiat,A7_AlgorithmicTrading,2022-4-5
190,synthiat,A8_DNA_Analyzer,2022-10-11
191,synthiat,SQL2_Info21_v1.0,2022-8-4
192,synthiat,SQL3_RetailAnalitycs_v1.0,2022-4-2
193,sgoldenf,C2_SimpleBashUtils,2021-3-19
194,sgoldenf,C3_s21_string+,2021-1-14
195,sgoldenf,C4_s21_math,2022-10-7
196,sgoldenf,C5_s21_decimal,2021-8-2
