id,peer1,peer2,pointsamount
1,judgejal,seftonca,62
2,synthiat,seftonca,62
3,alishian,seftonca,62
4,bromanyt,seftonca,62
5,roggosce,seftonca,62
6,santagam,seftonca,62
7,starfigd,seftonca,62
8,hsensor,seftonca,62
9,hcarolee,seftonca,62
10,roscoesu,seftonca,62
11,yolandep,seftonca,62
12,telvina,seftonca,62
13,limesbra,seftonca,62
14,hcarolee,seftonca,62
15,lsloey,seftonca,62
16,kathyhan,seftonca,62
17,estaedmo,seftonca,62
18,horacene,seftonca,62
19,zasterte,seftonca,62
20,clemenha,seftonca,62
21,coriande,seftonca,62
22,slyviada,seftonca,62
23,zoraidab,seftonca,62
24,estaedmo,seftonca,62
25,mordnore,seftonca,62
26,noisejaq,seftonca,62
27,jeanenea,seftonca,62
28,irobin,seftonca,62
29,hatchesn,seftonca,62
30,tblitzcr,seftonca,62
31,mbulwer,seftonca,62
32,umfredra,androwba,64
33,julietah,androwba,64
34,clemenha,androwba,64
35,papawfen,androwba,64
36,tblitzcr,androwba,64
37,erikurfo,androwba,64
38,richesea,androwba,64
39,abbeyrus,androwba,64
40,aemmafre,androwba,64
41,umfredra,androwba,64
42,mitzifra,androwba,64
43,mzoraida,androwba,64
44,jdoomfis,androwba,64
45,alienchu,androwba,64
46,duurmopa,androwba,64
47,utherydg,androwba,64
48,doriangr,androwba,64
49,golemtam,androwba,64
50,horacene,androwba,64
51,clemenha,androwba,64
52,yukojuan,androwba,64
53,meghanki,androwba,64
54,fbillye,androwba,64
55,guitarso,androwba,64
56,jeanenea,androwba,64
57,drahardo,androwba,64
58,lsloey,androwba,64
59,cayennew,androwba,64
60,dogletho,androwba,64
61,sherlynt,androwba,64
62,corrietr,androwba,64
63,toffeeco,androwba,64
64,toffeeco,ghumbleb,64
65,audiecle,ghumbleb,64
66,xerminia,ghumbleb,64
67,mordnore,ghumbleb,64
68,sherlynt,ghumbleb,64
69,norridge,ghumbleb,64
70,supertha,ghumbleb,64
71,professo,ghumbleb,64
72,cayennew,ghumbleb,64
73,hanalesh,ghumbleb,64
74,kcresswe,ghumbleb,64
75,toffeeco,ghumbleb,64
76,joellebo,ghumbleb,64
77,pallaaxe,ghumbleb,64
78,boostery,ghumbleb,64
79,romildab,ghumbleb,64
80,tandrasc,ghumbleb,64
81,barnards,ghumbleb,64
82,roscoesu,ghumbleb,64
83,cresswec,ghumbleb,64
84,audiedet,ghumbleb,64
85,cindycan,ghumbleb,64
86,alishian,ghumbleb,64
87,golemtam,ghumbleb,64
88,dhammer,ghumbleb,64
89,rebeccaa,ghumbleb,64
90,roscoesu,ghumbleb,64
91,yolandep,ghumbleb,64
92,janissca,ghumbleb,64
93,bromanyt,ghumbleb,64
94,llynelle,ghumbleb,64
95,cornmeal,ghumbleb,64
96,romildab,professo,64
97,cindycan,professo,64
98,jorgedom,professo,64
99,emelinel,professo,64
100,shenmurr,professo,64
101,umfredir,professo,64
102,cresswec,professo,64
103,takemiym,professo,64
104,jesusalo,professo,64
105,bromanyt,professo,64
106,chiquita,professo,64
107,richesea,professo,64
108,starfigd,professo,64
109,pallaaxe,professo,64
110,umfredra,professo,64
111,roggosce,professo,64
112,demogorg,professo,64
113,kcresswe,professo,64
114,noisejaq,professo,64
115,rammuseu,professo,64
116,hsensor,professo,64
117,utherydg,professo,64
118,fbillye,professo,64
119,daniawen,professo,64
120,cayennew,professo,64
121,guitarso,professo,64
122,englishk,professo,64
123,rinkodaw,professo,64
124,dotharer,professo,64
125,symeonro,professo,64
126,nollarey,professo,64
127,perrosde,professo,64
128,sfleta,jenegabr,64
129,hlowell,jenegabr,64
130,lsloey,jenegabr,64
131,vluann,jenegabr,64
132,hamishcl,jenegabr,64
133,roscoesu,jenegabr,64
134,rebeccaa,jenegabr,64
135,professo,jenegabr,64
136,sperses,jenegabr,64
137,englishk,jenegabr,64
138,Andrew,jenegabr,64
139,julietah,jenegabr,64
140,alienchu,jenegabr,64
141,ninetale,jenegabr,64
142,toffeeco,jenegabr,64
143,marquita,jenegabr,64
144,ajhin,jenegabr,64
145,norridge,jenegabr,64
146,shenmurr,jenegabr,64
147,karnaksp,jenegabr,64
148,noisejaq,jenegabr,64
149,twilber,jenegabr,64
150,rdontos,jenegabr,64
151,loriross,jenegabr,64
152,jdoomfis,jenegabr,64
153,ronniele,jenegabr,64
154,sensordo,jenegabr,64
155,sfleta,jenegabr,64
156,biodiese,jenegabr,64
157,starfigd,jenegabr,64
158,ajhin,jenegabr,64
159,rorgeelp,jenegabr,64
160,Bulenko,synthiat,64
161,waresher,synthiat,64
162,hhullen,synthiat,64
163,coratant,synthiat,64
164,ternesim,synthiat,64
165,janissca,synthiat,64
166,adrienne,synthiat,64
167,chiquita,synthiat,64
168,umfredir,synthiat,64
169,dhammer,synthiat,64
170,dionecar,synthiat,64
171,maliqdot,synthiat,64
172,bainesme,synthiat,64
173,windhelg,synthiat,64
174,neugene,synthiat,64
175,zasterte,synthiat,64
176,salenasa,synthiat,64
177,alishian,synthiat,64
178,maryanna,synthiat,64
179,withersh,synthiat,64
180,malenaro,synthiat,64
181,necromat,synthiat,64
182,seftonca,synthiat,64
183,adough,synthiat,64
184,scrimgeo,synthiat,64
185,luanarau,synthiat,64
186,sfleta,synthiat,64
187,gemmaeme,synthiat,64
