id,peer,date,time,state
1,seftonca,2022-1-1,04:11,1
2,seftonca,2022-1-1,20:50,2
3,seftonca,2022-1-1,20:51,1
5,seftonca,2022-1-1,20:59,1
6,androwba,2022-1-1,04:11,1
7,androwba,2022-1-1,20:50,2
8,ghumbleb,2022-1-1,04:11,1
9,ghumbleb,2022-1-1,20:50,2
10,professo,2022-1-1,04:11,1
11,professo,2022-1-1,20:50,2
12,jenegabr,2022-1-1,04:11,1
13,jenegabr,2022-1-1,20:50,2
14,synthiat,2022-1-1,04:11,1
15,synthiat,2022-1-1,20:50,2
16,sgoldenf,2022-1-1,04:11,1
17,sgoldenf,2022-1-1,20:50,2
18,sgoldenf,2022-1-1,20:51,1
19,sgoldenf,2022-1-1,20:59,2
20,gwakame,2022-1-1,04:11,1
21,gwakame,2022-1-1,20:50,2
22,gwakame,2022-1-1,20:51,1
23,gwakame,2022-1-1,20:59,2
24,akiraren,2022-1-1,04:11,1
25,akiraren,2022-1-1,20:50,2
26,seftonca,2022-1-2,18:27,1
27,seftonca,2022-1-2,18:33,2
28,seftonca,2022-1-2,18:39,1
29,seftonca,2022-1-2,18:51,2
31,androwba,2022-1-2,18:27,1
32,androwba,2022-1-2,18:33,2
33,ghumbleb,2022-1-2,18:27,1
34,ghumbleb,2022-1-2,18:33,2
35,professo,2022-1-2,18:27,1
36,professo,2022-1-2,18:33,2
37,professo,2022-1-2,18:39,1
38,professo,2022-1-2,18:51,2
39,jenegabr,2022-1-2,18:27,1
40,jenegabr,2022-1-2,18:33,2
41,jenegabr,2022-1-2,18:39,1
42,jenegabr,2022-1-2,18:51,2
43,synthiat,2022-1-2,18:27,1
44,synthiat,2022-1-2,18:33,2
45,synthiat,2022-1-2,18:39,1
46,synthiat,2022-1-2,18:51,2
48,sgoldenf,2022-1-2,18:27,1
49,sgoldenf,2022-1-2,18:33,2
50,sgoldenf,2022-1-2,18:39,1
51,sgoldenf,2022-1-2,18:51,2
53,gwakame,2022-1-2,18:27,1
54,gwakame,2022-1-2,18:33,2
55,gwakame,2022-1-2,18:39,1
56,gwakame,2022-1-2,18:51,2
57,akiraren,2022-1-2,18:27,1
58,akiraren,2022-1-2,18:33,2
59,seftonca,2022-1-3,18:25,1
60,seftonca,2022-1-3,18:40,2
61,seftonca,2022-1-3,18:45,1
62,seftonca,2022-1-3,18:55,2
63,androwba,2022-1-3,18:25,1
64,androwba,2022-1-3,18:40,2
65,androwba,2022-1-3,18:45,1
67,androwba,2022-1-3,18:55,1
68,ghumbleb,2022-1-3,18:25,1
69,ghumbleb,2022-1-3,18:40,2
70,ghumbleb,2022-1-3,18:45,1
71,ghumbleb,2022-1-3,18:55,2
72,professo,2022-1-3,18:25,1
73,professo,2022-1-3,18:40,2
74,seftonca,2022-1-4,02:35,1
75,seftonca,2022-1-4,18:45,2
76,seftonca,2022-1-4,20:50,1
78,seftonca,2022-1-4,22:55,1
79,androwba,2022-1-4,02:35,1
80,androwba,2022-1-4,18:45,2
81,androwba,2022-1-4,20:50,1
83,androwba,2022-1-4,22:55,1
84,ghumbleb,2022-1-4,02:35,1
85,ghumbleb,2022-1-4,18:45,2
86,ghumbleb,2022-1-4,20:50,1
87,ghumbleb,2022-1-4,22:55,2
88,professo,2022-1-4,02:35,1
89,professo,2022-1-4,18:45,2
90,jenegabr,2022-1-4,02:35,1
91,jenegabr,2022-1-4,18:45,2
92,synthiat,2022-1-4,02:35,1
93,synthiat,2022-1-4,18:45,2
94,synthiat,2022-1-4,20:50,1
95,synthiat,2022-1-4,22:55,2
96,sgoldenf,2022-1-4,02:35,1
97,sgoldenf,2022-1-4,18:45,2
98,sgoldenf,2022-1-4,20:50,1
99,sgoldenf,2022-1-4,22:55,2
100,gwakame,2022-1-4,02:35,1
101,gwakame,2022-1-4,18:45,2
102,akiraren,2022-1-4,02:35,1
103,akiraren,2022-1-4,18:45,2
104,seftonca,2022-1-5,09:04,1
105,seftonca,2022-1-5,09:24,2
106,seftonca,2022-1-5,09:28,1
107,seftonca,2022-1-5,09:32,2
108,androwba,2022-1-5,09:04,1
109,androwba,2022-1-5,09:24,2
110,ghumbleb,2022-1-5,09:04,1
111,ghumbleb,2022-1-5,09:24,2
112,professo,2022-1-5,09:04,1
113,professo,2022-1-5,09:24,2
114,professo,2022-1-5,09:28,1
115,professo,2022-1-5,09:32,2
116,jenegabr,2022-1-5,09:04,1
117,jenegabr,2022-1-5,09:24,2
118,jenegabr,2022-1-5,09:28,1
119,jenegabr,2022-1-5,09:32,2
120,jenegabr,2022-1-5,09:52,1
121,jenegabr,2022-1-5,09:56,2
122,synthiat,2022-1-5,09:04,1
123,synthiat,2022-1-5,09:24,2
124,synthiat,2022-1-5,09:28,1
