id,checkid,vertercheckstatus,time
1,1,Start,21:33
2,1,Failure,23:23
3,2,Start,00:00
4,2,Success,22:10
5,3,Start,23:47
6,3,Success,04:16
7,4,Start,22:34
8,4,Success,06:18
9,5,Start,05:41
10,5,Failure,11:47
11,6,Start,22:46
12,6,Failure,09:57
13,7,Start,16:28
14,7,Failure,19:55
15,8,Start,13:01
16,8,Failure,01:13
17,9,Start,02:14
18,9,Success,12:24
19,10,Start,06:42
20,10,Failure,17:17
21,11,Start,08:44
22,11,Failure,09:33
23,12,Start,13:25
24,12,Failure,01:49
25,13,Start,14:02
26,13,Success,06:42
27,14,Start,08:32
28,14,Failure,21:33
29,15,Start,04:28
30,15,Failure,03:15
31,16,Start,13:01
32,16,Failure,03:51
33,17,Start,23:35
34,17,Success,16:16
35,18,Start,11:11
36,18,Success,08:32
37,19,Start,18:54
38,19,Success,02:02
39,20,Start,15:15
40,20,Failure,19:07
41,21,Start,08:56
42,21,Failure,23:23
43,22,Start,15:39
44,22,Success,08:56
45,23,Start,16:52
46,23,Failure,15:15
47,24,Start,04:28
48,24,Failure,03:39
49,25,Start,20:56
50,25,Success,20:44
51,26,Start,18:54
52,26,Failure,15:27
53,27,Start,06:06
54,27,Success,22:46
55,28,Start,14:38
56,28,Failure,11:11
57,29,Start,09:21
58,29,Failure,15:03
59,30,Start,07:55
60,30,Success,02:50
61,31,Start,05:41
62,31,Failure,19:43
63,32,Start,19:31
64,32,Failure,17:29
65,33,Start,23:59
66,33,Failure,09:33
67,34,Start,05:41
68,34,Success,04:52
69,35,Start,21:33
70,35,Success,10:34
71,36,Start,22:46
72,36,Success,16:40
73,37,Start,15:51
74,37,Success,08:44
75,38,Start,18:54
76,38,Failure,21:57
77,39,Start,06:18
78,39,Failure,17:41
79,40,Start,09:09
80,40,Success,04:04
81,41,Start,12:36
82,41,Failure,15:27
83,42,Start,22:22
84,42,Success,02:26
85,43,Start,16:28
86,43,Success,20:32
87,44,Start,14:50
88,44,Success,14:26
89,45,Start,06:54
90,45,Success,14:02
91,46,Start,02:02
92,46,Failure,11:11
93,47,Start,08:32
94,47,Failure,23:59
95,48,Start,21:57
96,48,Failure,05:53
97,49,Start,13:13
98,49,Success,04:04
99,50,Start,02:26
100,50,Success,00:00
101,51,Start,09:09
102,51,Success,04:28
103,52,Start,04:52
104,52,Failure,11:11
105,53,Start,00:24
106,53,Success,04:04
107,54,Start,02:38
108,54,Success,08:08
109,55,Start,19:19
110,55,Failure,07:43
111,56,Start,22:34
112,56,Success,00:36
113,57,Start,02:50
114,57,Failure,17:05
115,58,Start,19:55
116,58,Failure,07:07
117,59,Start,14:02
118,59,Failure,09:45
119,60,Start,16:16
120,60,Success,00:00
121,61,Start,20:44
122,61,Success,20:56
123,62,Start,20:08
124,62,Failure,15:27
125,63,Start,10:46
126,63,Failure,19:07
127,64,Start,05:05
128,64,Success,16:28
129,65,Start,03:51
130,65,Failure,07:55
131,66,Start,17:29
132,66,Failure,07:43
133,67,Start,19:07
134,67,Failure,07:19
135,68,Start,21:33
136,68,Failure,21:09
137,69,Start,18:06
138,69,Failure,17:05
139,70,Start,09:33
140,70,Failure,09:33
141,71,Start,17:29
142,71,Failure,17:17
143,72,Start,04:04
144,72,Success,06:30
145,73,Start,19:19
146,73,Success,02:14
147,74,Start,18:42
148,74,Success,20:32
149,75,Start,21:33
150,75,Success,12:00
151,76,Start,21:33
152,76,Success,18:18
153,77,Start,12:36
154,77,Success,14:26
155,78,Start,08:32
156,78,Success,06:54
157,79,Start,03:27
158,79,Success,00:12
159,80,Start,14:26
160,80,Failure,13:01
161,81,Start,10:34
162,81,Success,04:28
163,82,Start,16:28
164,82,Success,22:22
165,83,Start,18:30
166,83,Success,02:14
167,84,Start,02:02
168,84,Success,14:26
169,85,Start,19:07
170,85,Failure,03:39
171,86,Start,05:05
172,86,Success,22:46
173,87,Start,22:34
174,87,Failure,15:39
175,88,Start,16:52
176,88,Failure,21:45
177,89,Start,13:49
178,89,Failure,05:41
179,90,Start,23:59
180,90,Success,04:16
181,91,Start,12:00
182,91,Failure,15:15
183,92,Start,06:18
184,92,Success,20:20
185,93,Start,01:13
186,93,Failure,07:07
187,94,Start,17:41
188,94,Failure,21:57
189,95,Start,11:11
190,95,Success,14:26
191,96,Start,14:26
192,96,Failure,05:53
193,97,Start,10:34
194,97,Failure,03:15
195,98,Start,09:09
196,98,Success,20:44
197,99,Start,04:52
198,99,Success,16:16
199,100,Start,12:24
200,100,Success,00:24
201,101,Start,13:01
202,101,Failure,05:41
203,102,Start,07:43
204,102,Success,02:26
205,103,Start,02:14
206,103,Failure,03:27
207,104,Start,00:24
208,104,Failure,15:39
209,105,Start,05:53
210,105,Failure,03:51
211,106,Start,01:49
212,106,Failure,01:37
213,107,Start,12:12
214,107,Failure,23:23
215,108,Start,04:52
216,108,Failure,13:01
217,109,Start,08:32
218,109,Success,22:58
219,110,Start,13:37
220,110,Failure,01:25
221,111,Start,11:35
222,111,Failure,01:01
223,112,Start,06:54
224,112,Success,10:46
225,113,Start,17:29
226,113,Success,10:46
227,114,Start,03:15
228,114,Success,06:18
229,115,Start,18:54
230,115,Success,20:44
231,116,Start,20:56
232,116,Failure,13:49
233,117,Start,18:30
234,117,Success,22:34
235,118,Start,14:38
236,118,Success,04:40
237,119,Start,12:00
238,119,Failure,23:35
239,120,Start,11:35
240,120,Success,08:20
241,121,Start,17:53
242,121,Success,18:18
243,122,Start,07:19
244,122,Failure,05:53
245,123,Start,11:47
246,123,Success,06:06
247,124,Start,23:23
248,124,Failure,13:49
249,125,Start,14:26
250,125,Success,18:30
251,126,Start,17:17
252,126,Failure,23:47
253,127,Start,21:21
254,127,Success,00:00
